"date","home_team","away_team","home_goals","away_goals","neutral"
"2008-01-05 16:30:00","Egypt","Namibia",3,0,0
"2008-01-08 18:00:00","Tunisia","Zambia",1,0,0
"2008-01-10 12:00:00","Egypt","Mali",1,0,0
"2008-01-12 16:00:00","Morocco","Zambia",2,0,0
"2008-01-13 14:00:00","Senegal","Namibia",3,1,0
"2008-01-13 15:00:00","South Africa","Mozambique",2,0,0
"2008-01-13 15:00:00","Angola","Egypt",3,3,0
"2008-01-16 16:00:00","South Africa","Botswana",2,1,0
"2008-01-16 20:00:00","Morocco","Angola",2,1,0
"2008-01-20 02:30:00","United States","Sweden",2,0,0
"2008-01-24 14:00:00","Iraq","Jordan",1,1,0
"2008-01-26 11:10:00","Japan","Chile",0,0,0
"2008-01-27 15:30:00","Oman","Singapore",2,0,0
"2008-01-27 15:45:00","Qatar","Denmark",0,1,0
"2008-01-28 16:00:00","Jordan","Lebanon",4,1,0
"2008-01-30 01:00:00","Haiti","El Salvador",0,0,0
"2008-01-30 11:20:00","Japan","Bosnia-Herzegovina",3,0,0
"2008-01-30 12:00:00","Korea Republic","Chile",0,1,0
"2008-01-30 17:30:00","Bahrain","Denmark",1,0,0
"2008-01-30 18:00:00","Saudi Arabia","Luxembourg",2,1,0
"2008-01-31 14:00:00","Jordan","Singapore",2,1,0
"2008-02-02 15:00:00","Belarus","Iceland",2,0,0
"2008-02-02 17:00:00","Poland","Finland",1,0,0
"2008-02-02 17:15:00","Malta","Armenia",0,1,0
"2008-02-04 01:30:00","Venezuela","Haiti",1,0,0
"2008-02-04 17:30:00","Belarus","Armenia",1,2,0
"2008-02-04 19:45:00","Malta","Iceland",1,0,0
"2008-02-05 16:50:00","Greece","Czech Republic",1,0,0
"2008-02-06 15:00:00","Georgia","Latvia",1,3,0
"2008-02-06 15:00:00","Moldova","Kazakhstan",1,0,0
"2008-02-06 17:00:00","Macedonia FYR","Serbia",1,1,0
"2008-02-06 17:00:00","Cyprus","Ukraine",1,1,0
"2008-02-06 17:30:00","Armenia","Iceland",0,2,0
"2008-02-06 18:00:00","Hungary","Slovakia",1,1,0
"2008-02-06 19:35:00","Turkey","Sweden",0,0,0
"2008-02-06 19:45:00","Malta","Belarus",0,1,0
"2008-02-06 19:45:00","Israel","Romania",1,0,0
"2008-02-06 20:00:00","Slovenia","Denmark",1,2,0
"2008-02-06 20:15:00","Greece","Finland",2,1,0
"2008-02-06 20:30:00","Croatia","Netherlands",0,3,0
"2008-02-06 20:30:00","Poland","Czech Republic",2,0,0
"2008-02-06 20:35:00","Austria","Germany",0,3,0
"2008-02-06 20:45:00","Wales","Norway",3,0,0
"2008-02-06 20:50:00","Ireland","Brazil",0,1,0
"2008-02-06 20:50:00","Italy","Portugal",3,1,0
"2008-02-06 21:00:00","England","Switzerland",2,1,0
"2008-02-06 21:00:00","Spain","France",1,0,0
"2008-02-07 00:30:00","Uruguay","Colombia",2,2,0
"2008-02-07 01:00:00","Bolivia","Peru",2,1,0
"2008-02-07 03:25:00","United States","Mexico",2,2,0
"2008-02-07 04:30:00","Argentina","Guatemala",5,0,0
"2008-02-27 20:30:00","Poland","Estonia",2,0,0
"2008-03-04 16:30:00","Qatar","Bahrain",1,2,0
"2008-03-11 18:00:00","South Africa","Zimbabwe",2,1,0
"2008-03-15 07:30:00","China","Thailand",3,3,0
"2008-03-16 12:00:00","Qatar","Jordan",2,1,0
"2008-03-19 23:00:00","Trinidad and Tobago","El Salvador",1,0,0
"2008-03-22 12:00:00","Singapore","Australia",0,0,0
"2008-03-25 18:30:00","Guinea","Togo",2,0,0
"2008-03-26 12:00:00","Uganda","Libya",1,1,0
"2008-03-26 17:10:00","Estonia","Canada",2,0,0
"2008-03-26 18:00:00","Ukraine","Serbia",2,0,0
"2008-03-26 18:00:00","South Africa","Paraguay",3,0,0
"2008-03-26 18:00:00","Hungary","Slovenia",0,1,0
